fator_ponderacao,sexo,faixa_idade,estado,municipio_condicao,regiao,classe_economica,alfabetizado,escolaridade,grau_escolaridade,grau_instrucao_chefe_familia,raca,religiao,orientacao_politica_esquerda_direita_centro,origem_agua_domicilio,condicao_trecho_rua_domicilio,nivel_preocupacao_meio_ambiente,conhecimento_aquecimento_global,associacao_aquecimento_global,opiniao_aquecimento_global_ocorrendo,causa_principal_aquecimento_global,percepcao_diminuicao_chuvas,percepcao_aumento_chuvas,percepcao_aumento_desastres_ambientais,percepcao_aumento_poluicao_ar,percepcao_aumento_temperatura,percepcao_aumento_conta_energia,percepcao_aumento_preco_alimentos,acha_diminuicao_chuvas_por_aquecimento,acha_aumento_chuvas_por_aquecimento,acha_mais_desastres_por_aquecimento,acha_aumento_poluicao_por_aquecimento,acha_aumento_temperatura_por_aquecimento,acha_aumento_conta_energia_por_aquecimento,acha_aumento_preco_alimentos_por_aquecimento,opiniao_sobre_visao_cientistas_aquecimento,percepcao_prejuizo_geracoes_futuras,percepcao_prejuizo_pessoal_familia,opniao_meio_ambiente_ou_economia,principal_contribuidor_resolucao_mudancas_climaticas,segundo_contribuidor_resolucao_mudancas_climaticas,terceiro_contribuidor_resolucao_mudancas_climaticas,costuma_separar_lixo_reciclagem,utiliza_energia_solar_ou_nao_poluente,evita_produtos_prejudiciais_ambiente,participou_manifestacao_mudanca_climatica,votou_politico_propostas_meio_ambiente,doacao_instituicoes_meio_ambiente,compartilhou_info_defesa_meio_ambiente,ouviu_falar_queimadas_amazonia,opiniao_causa_queimadas_amazonia,primeiro_responsavel_queimadas_amazonia,segundo_responsavel_queimadas_amazonia,terceiro_responsavel_queimadas_amazonia,percepcao_mudanca_queimadas_amazonia_10anos,opiniao_desmatamento_prejudica_vida_local,opiniao_desmatamento_ameaca_clima_planeta,opiniao_desmatamento_prejudica_imagem_brasil,opiniao_desmatamento_prejudica_comercio_brasil,opiniao_desmatamento_necessario_economia,opiniao_criacao_ministerio_povos_originarios,opiniao_demarcacao_terras_indigenas,opiniao_indios_protegem_florestas,opiniao_financiamento_externo_preservacao_amazonia,comparacao_governo_lula_bolsonaro_meio_ambiente,informacao_principalmente_tv_aberta,informacao_principalmente_jornal_revista_impressos,informacao_principalmente_sites_internet,informacao_principalmente_redes_sociais,informacao_principalmente_radio,informacao_principalmente_whatsapp,informacao_principalmente_tv_paga,informacao_principalmente_conversas_com_outros,informacao_desmatamento_tv_aberta,informacao_desmatamento_jornal_revista_impressos,informacao_desmatamento_sites_internet,informacao_desmatamento_redes_sociais,informacao_desmatamento_radio,informacao_desmatamento_whatsapp,informacao_desmatamento_tv_paga,informacao_desmatamento_conversas_com_outros,uso_internet_ultimos_3_meses,uso_internet_computador_mesa_ultimos_3_meses,uso_internet_notebook_ultimos_3_meses,uso_internet_tablet_ultimos_3_meses,uso_internet_celular_ultimos_3_meses,uso_internet_videogame_ultimos_3_meses,uso_internet_televisao_ultimos_3_meses,tipo_conexao_internet_celular_3G_4G,tipo_conexao_internet_celular_wifi,,,,,,,,
0.565119,Feminino,35 a 44 anos,SP,Capital RM,Sudeste,A,Sim,Superior completo,Superior,Superior completo,Branca,Católica Apostólica Romana,Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Muito,DESMATAMENTO,Sim,Causado principalmente pela ação humana,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Empresas e indústrias,Os governos,As ONGs de meio ambiente,Sim,Não,Não,Não,Não,Não,Sim,Sim,Por ação humana,Madeireiros,Pecuaristas e criadores de animais,Grandes produtores rurais,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Melhor,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,,,,,,,,
0.973904,Masculino,45 a 59 anos,SP,Interior,Sudeste,B2,Sim,Superior completo,Superior,Superior completo,Branca,"Kardecista, espírita",Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Muito,DESMATAMENTO,Sim,Ambos (Esp.),Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Mais ou menos,Não respondeu,Os governos,Empresas e indústrias,As ONGs de meio ambiente,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Por ação humana,Garimpeiros,Madeireiros,Pecuaristas e criadores de animais,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Melhor,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,,Sim,,Não,,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,,,,,,,,
1.025108,Masculino,25 a 34 anos,SP,Periferia,Sudeste,B2,Sim,Superior completo,Superior,Superior completo,Parda,Católica Apostólica Romana,No centro,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Mais ou menos,POLUIÇÃO,Sim,Ambos (Esp.),Não,Não,Sim,Sim,Sim,Sim,Sim,,,Sim,Sim,Sim,Não,Não,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Mais ou menos,Mais ou menos,"Promover o crescimento econômico e a geração de empregos, mesmo que isso prejudique o meio ambiente",Os cidadãos,Os governos,Não respondeu,Sim,Não,Sim,Não,Não,Não,Sim,Sim,"Por mudanças naturais no meio ambiente, que deixam a floresta mais seca em algumas épocas do ano",,,,Estão iguais,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda em parte,Discorda totalmente,Discorda totalmente,Discorda em parte,Discorda em parte,Discorda totalmente,Pior,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,,,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,,,,,,,,
0.819887,Masculino,35 a 44 anos,SP,Interior,Sudeste,B2,Sim,Superior completo,Superior,Superior completo,Branca,Católica Apostólica Romana,Não respondeu,Rede Geral de distribuição,Asfaltada/Pavimentada,Preocupado(a),Muito,EFEITO ESTUFA,Sim,Causado principalmente pela ação humana,Não,Não,Não,Sim,Sim,Sim,Sim,,,,Sim,Sim,Sim,Não,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Promover o crescimento econômico e a geração de empregos, mesmo que isso prejudique o meio ambiente",Empresas e indústrias,Os cidadãos,Não sabe,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Por ação humana,Organizações Não Governamentais (ONGs) de meio ambiente,Madeireiros,Grandes produtores rurais,Diminuíram,Concorda totalmente,Não respondeu,Discorda totalmente,Discorda totalmente,Discorda em parte,Discorda totalmente,Discorda totalmente,Não respondeu,Discorda totalmente,Pior,Não respondeu,Não respondeu,Não respondeu,Sim,Sim,Sim,Sim,Sim,,,,Sim,Não respondeu,Não respondeu,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Nâo respondeu,,,,,,,,
1.025108,Masculino,25 a 34 anos,SP,Interior,Sudeste,B1,Sim,Superior completo,Superior,Superior completo,Branca,Católica Apostólica Romana,Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Mais ou menos,PREOCUPAÇÃO,Sim,Causado principalmente pela ação humana,Não sabe,Não,Sim,Sim,Sim,Sim,Sim,,,Sim,Não,Sim,Não,Não,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Mais ou menos,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Empresas e indústrias,Os governos,Os cidadãos,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Por ação humana,Políticos,Madeireiros,Grandes produtores rurais,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Melhor,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,,Sim,Sim,Sim,,Sim,,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,,,,,,,,
2.134075,Masculino,60 anos ou +,SP,Interior,Sudeste,C1,Não,,Analfabeto/Saber ler/Primário,Fundamental completo/ Médio incompleto,Branca,Católica Apostólica Romana,Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Preocupado(a),Mais ou menos,CHUVAS,Sim,Causado principalmente pela ação humana,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os governos,Empresas e indústrias,As ONGs de meio ambiente,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Por ação humana,Grandes produtores rurais,,,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda em parte,Melhor,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,,Sim,Sim,,Sim,Não,,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,,,,,,,,
1.570708,Masculino,35 a 44 anos,SP,Interior,Sudeste,DE,Sim,5ª série ou 6º ano do Fundamental,Ginásio,Analfabeto/ Fundamental I incompleto,Parda,Católica Apostólica Romana,No centro,Rede Geral de distribuição,Asfaltada/Pavimentada,Preocupado(a),Um pouco,POLUIÇÃO,Sim,Causado principalmente pela ação humana,Não sabe,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Não,Sim,Não,Não,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Um pouco,Não sabe,Os cidadãos,Empresas e indústrias,Os governos,Sim,Não,Sim,Não,Não sabe,Não,Não,Sim,Por ação humana,Grandes produtores rurais,Pecuaristas e criadores de animais,Madeireiros,Diminuíram,Concorda em parte,Concorda totalmente,Concorda totalmente,Não concorda nem discorda,Discorda em parte,Concorda totalmente,Concorda em parte,Concorda totalmente,Concorda totalmente,Não sabe,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,,,Não,,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,,,,,,,,
3.239573,Masculino,60 anos ou +,SP,Interior,Sudeste,DE,Não,,Analfabeto/Saber ler/Primário,Analfabeto/ Fundamental I incompleto,Branca,Católica Apostólica Romana,Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Muito preocupado(a),Um pouco,FUTURO,Sim,Causado principalmente pela ação humana,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,,Sim,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global não está acontecendo,Muito,Muito,"Promover o crescimento econômico e a geração de empregos, mesmo que isso prejudique o meio ambiente",As ONGs de meio ambiente,Os governos,Empresas e indústrias,Não,Não,Não,Não,Não,Não,Não,Sim,Por ação humana,Madeireiros,Políticos,Garimpeiros,Aumentaram,Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,Melhor,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,,,,Sim,Não,,,Não,,,,,,,,,,,,,,,,
1.225606,Feminino,25 a 34 anos,SP,Interior,Sudeste,C1,Sim,3ª série do Ensino Médio,Colegial,Fundamental completo/ Médio incompleto,Parda,Católica Apostólica Romana,Mais à esquerda,Rede Geral de distribuição,Asfaltada/Pavimentada,Preocupado(a),Mais ou menos,DESMATAMENTO,Sim,Ambos (Esp.),Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Promover o crescimento econômico e a geração de empregos, mesmo que isso prejudique o meio ambiente",Não respondeu,,,Sim,Não,Não,Não,Não,Sim,Sim,Sim,"Por mudanças naturais no meio ambiente, que deixam a floresta mais seca em algumas épocas do ano",,,,Estão iguais,Concorda totalmente,Concorda em parte,Discorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Discorda em parte,Pior,Não,Não,Sim,Sim,Não,Sim,Não,Sim,,,Não,Não,,Não,,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,,,,,,,,
1.08464,Feminino,18 a 24 anos,SP,Interior,Sudeste,B2,Sim,Superior completo,Superior,Superior completo,Preta,Outras religiões,No centro,Rede Geral de distribuição,Asfaltada/Pavimentada,Preocupado(a),Muito,DEGELO,Sim,Causado principalmente pela ação humana,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,A maior parte dos cientistas acha que o aquecimento global está acontecendo,Muito,Muito,"Proteger o meio ambiente, mesmo que isso signifique menos crescimento econômico e menos empregos",Os governos,Empresas e indústrias,As ONGs de meio ambiente,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Por ação humana,Madeireiros,Grandes produtores rurais,Pecuaristas e criadores de animais,Aumentaram,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda em parte,Discorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,Concorda em parte,Melhor,Não,Não,Sim,Sim,Não,Não,Não,Sim,,,Sim,Sim,,,,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,,,,,,,,
